# B[mT] I[A]
715 9.5
707 9.0
698 8.5
689 8.0
678 7.5
667 7.0
653 6.5
641 6.0
626 5.5
611 5.0
592 4.5
573 4.0
550 3.5
526 3.0
494 2.5
458 2.0
397 1.5
324 1.0
213 0.5
#Umgepolt
27   -0.5
-58  -1.0
-148 -1.5
-224 -2.0
-303 -2.5
-360 -3.0
-413 -3.5
-453 -4.0
-487 -4.5
-516 -5.0
-542 -5.5
-565 -6.0
-587 -6.5
-605 -7.0
-623 -7.5
-639 -8.0
-654 -8.5
-668 -9.0
-682 -9.5
-694 -10.0
